tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
29073	Ursus maritimus	103682059	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un	NW_007928705.1	715973	717098	minus	2		
9798	Equus przewalskii	103558553	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un	NW_007674705.1	132377	133495	plus	2		
310752	Balaenoptera acutorostrata scammoni	103014948	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un	NW_006725355.1	6454807	6456236	minus	2		
9755	Physeter catodon	102986939	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
74533	Panthera tigris altaica	102971262	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
27679	Saimiri boliviensis	101047532	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9646	Ailuropoda melanoleuca	100469387	0	live	ISG15	PANDA_020585	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9601	Pongo abelii	100461684	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		1	NC_036903.1	227596737	227597796	minus	2		
38626	Phascolarctos cinereus	110201233	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
1737458	Cebus capucinus imitator	108313913	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
225400	Myotis davidii	102760772	0	live	ISG15	MDA_GLEAN10007532	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|Ubiquitin-like protein ISG15		Un							
246437	Tupaia chinensis	102496379	0	live	ISG15	TREES_T100002200	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|Ubiquitin-like protein ISG15		Un							
109478	Myotis brandtii	102260813	0	live	ISG15	D623_10009650	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|Ubiquitin-like protein ISG15		Un							
10029	Cricetulus griseus	100772582	0	live	Isg15	I79_018183	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|Ubiquitin cross-reactive protein		Un							
9986	Oryctolagus cuniculus	100354504	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
10036	Mesocricetus auratus	101842719	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
1026970	Nannospalax galili	103749728	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
1706337	Neophocaena asiaeorientalis asiaeorientalis	112409915	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9430	Desmodus rotundus	112299549	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
1415176	Terrapene mexicana triunguis	112124532	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
10160	Octodon degus	111812128	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9749	Delphinapterus leucas	111187178	0	live	ISG15		ISG15 ubiquitin-like modifier	LOW QUALITY PROTEIN: ubiquitin-like protein ISG15		Un							
29088	Neomonachus schauinslandi	110574584	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
89399	Rhinolophus sinicus	109434772	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
186990	Hipposideros armiger	109391180	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9691	Panthera pardus	109273903	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9974	Manis javanica	108405696	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
291302	Miniopterus natalensis	107544125	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9407	Rousettus aegyptiacus	107510656	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
103944	Protobothrops mucrosquamatus	107285475	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9994	Marmota marmota marmota	107155604	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
35019	Thamnophis sirtalis	106552569	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
10020	Dipodomys ordii	106002323	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
30608	Microcebus murinus	105877689	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		2	NC_033661.1	54865666	54867032	minus	2		
379532	Propithecus coquereli	105820926	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9545	Macaca nemestrina	105498297	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
132908	Pteropus vampyrus	105309830	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9838	Camelus dromedarius	105105589	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9837	Camelus bactrianus	105071342	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
885580	Fukomys damarensis	104864605	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
482537	Galeopterus variegatus	103588088	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un	NW_007726635.1	541162	542599	plus	2		
29078	Eptesicus fuscus	103295348	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un	NW_007370721.1	99496	106719	plus	2		
28377	Anolis carolinensis	103280520	0	live	isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
1868482	Carlito syrichta	103250044	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
60711	Chlorocebus sabaeus	103225828	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		20	NC_023661.1	130419909	130421409	minus	2		
1230840	Orycteropus afer afer	103200908	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un	NW_006921723.1	3968066	3982219	plus	2		
9365	Erinaceus europaeus	103115889	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
230844	Peromyscus maniculatus bairdii	102916363	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9402	Pteropus alecto	102878693	0	live	ISG15	PAL_GLEAN10001765	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|Ubiquitin cross-reactive protein		Un							
28737	Elephantulus edwardii	102857374	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un	NW_006399795.1	17211944	17223279	minus	2		
185453	Chrysochloris asiatica	102816025	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un	NW_006408691.1	559705	581452	plus	2		
9713	Leptonychotes weddellii	102728615	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un	NW_006383401.1	1260726	1261788	minus	2		
30538	Vicugna pacos	102538534	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
419612	Camelus ferus	102506432	0	live	ISG15	CB1_000203024	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
59463	Myotis lucifugus	102430624	0	live	ISG15		ISG15 ubiquitin-like modifier	LOW QUALITY PROTEIN: ubiquitin-like protein ISG15		Un							
34839	Chinchilla lanigera	102006919	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
79684	Microtus ochrogaster	101988410	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
43179	Ictidomys tridecemlineatus	101957299	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
8479	Chrysemys picta	101946299	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
10181	Heterocephalus glaber	101725499	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9371	Echinops telfairi	101642978	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
143302	Condylura cristata	101627670	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
51337	Jaculus jaculus	101612562	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
42254	Sorex araneus	101549180	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9978	Ochotona princeps	101527189	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9361	Dasypus novemcinctus	101444780	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9708	Odobenus rosmarus divergens	101366118	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9733	Orcinus orca	101275176	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9593	Gorilla gorilla	101130294	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		1	NC_018424.2	646911	647972	plus	2		
30611	Otolemur garnettii	100966149	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9305	Sarcophilus harrisii	100932617	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		3							
10141	Cavia porcellus	100731608	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9785	Loxodonta africana	100661639	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
13616	Monodelphis domestica	100020081	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
244447	Cynoglossus semilaevis	103397325	0	live	isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|interferon-stimulated protein 15		Z	NC_024328.1	436011	437710	plus	2		
9739	Tursiops truncatus	101322700	0	live	ISG15		ISG15 ubiquitin-like modifier										
73337	Ceratotherium simum simum	101392260	0	live	LOC101392260	ISG15	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
127582	Trichechus manatus latirostris	101343892	0	live	LOC101343892	ISG15	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
7962	Cyprinus carpio	109083178	0	live	LOC109083178	ISG15	polyubiquitin-like	polyubiquitin-like|interferon-stimulated protein 15		Un							
9606	Homo sapiens	11274	0	live	USP18	ISG43, PTORCH2, UBP43	ubiquitin specific peptidase 18	ubl carboxyl-terminal hydrolase 18|43 kDa ISG15-specific protease|ISG15-specific-processing protease|hUBP43|ubiquitin specific protease 18|ubl thioesterase 18|ubl thiolesterase 18	22q11.21	22	NC_000022.11	18149855	18177397	plus	11	607057	
10090	Mus musculus	24110	0	live	Usp18	1110058H21Rik, AW047653, UBP43, Ubp15	ubiquitin specific peptidase 18	ubl carboxyl-terminal hydrolase 18|43 kDa ISG15-specific protease|ISG15-specific-processing protease|ubiquitin specific protease 15|ubiquitin specific protease 18|ubl thioesterase 18|ubl thiolesterase 18	6 57.17 cM	6	NC_000072.6	121245906	121270917	plus	11		
9606	Homo sapiens	7706	0	live	TRIM25	EFP, RNF147, Z147, ZNF147	tripartite motif containing 25	E3 ubiquitin/ISG15 ligase TRIM25|RING finger protein 147|RING-type E3 ubiquitin transferase|RING-type E3 ubiquitin transferase TRIM25|estrogen-responsive finger protein|tripartite motif protein TRIM25|tripartite motif-containing protein 25|ubiquitin/ISG15-conjugating enzyme TRIM25|zinc finger protein 147 (estrogen-responsive finger protein)|zinc finger protein-147	17q22	17	NC_000017.11	56887909	56914048	minus	9	600453	
10090	Mus musculus	217069	0	live	Trim25	AA960166, AL022677, EFP, Zfp147	tripartite motif-containing 25	E3 ubiquitin/ISG15 ligase TRIM25|RING-type E3 ubiquitin transferase|RING-type E3 ubiquitin transferase TRIM25|estrogen-responsive finger protein|tripartite motif protein 25|tripartite motif-containing protein 25|ubiquitin/ISG15-conjugating enzyme TRIM25|zinc finger protein 147	11 C	11	NC_000077.6	88999398	89020293	plus	9		
80972	Amphiprion ocellaris	111566535	0	live	LOC111566535		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8022	Oncorhynchus mykiss	110528478	0	live	LOC110528478		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		7	NC_035083.1	66019716	66028934	minus	6		
9135	Serinus canaria	103817379	0	live	LOC103817379		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
391180	Enhydra lutris kenyoni	111154860	0	live	LOC111154860		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
30611	Otolemur garnettii	100948662	0	live	LOC100948662		ubiquitin-like protein ISG15	ubiquitin-like protein ISG15		Un							
8030	Salmo salar	106564896	0	live	LOC106564896		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		ssa12	NC_027311.1	24767129	24781551	plus	11		
8010	Esox lucius	105008837	0	live	LOC105008837		E3 ubiquitin/ISG15 ligase TRIM25	E3 ubiquitin/ISG15 ligase TRIM25		LG24	NC_025991.3	3752948	3761863	plus	10		
215358	Larimichthys crocea	104921549	0	live	LOC104921549	EH28_24739	E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|E3 ubiquitin/ISG15 ligase TRIM25		Un							
932674	Corvus cornix cornix	104697322	0	live	LOC104697322		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
441894	Struthio camelus australis	104151053	0	live	LOC104151053		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8128	Oreochromis niloticus	100705925	0	live	LOC100705925		E3 ubiquitin/ISG15 ligase TRIM25	E3 ubiquitin/ISG15 ligase TRIM25		LG23	NC_031986.1	38144781	38156222	minus	20		
10029	Cricetulus griseus	100756751	0	live	Ube2l6		ubiquitin conjugating enzyme E2 L6	ubiquitin/ISG15-conjugating enzyme E2 L6|Ubiquitin/ISG15-conjugating enzyme E2 L6|ubiquitin-conjugating enzyme E2L 6|ubiquitin/ISG15-conjugating enzyme E2 L6-like protein		Un							
8030	Salmo salar	106608974	0	live	LOC106608974	TRI25	E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|Tripartite motif-containing protein 25		ssa07	NC_027306.1	24095576	24132486	plus	11		
7998	Ictalurus punctatus	108260947	0	live	LOC108260947		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		29	NC_030444.1	8317536	8327195	minus	9		
8187	Lates calcarifer	108884563	0	live	LOC108884563		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8187	Lates calcarifer	108884561	0	live	LOC108884561		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
74940	Oncorhynchus tshawytscha	112214564	0	live	LOC112214564		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		15	NC_037111.1	22523104	22557760	plus	10		
8036	Salvelinus alpinus	111952510	0	live	LOC111952510		E3 ubiquitin/ISG15 ligase TRIM25	E3 ubiquitin/ISG15 ligase TRIM25		LG3	NC_036840.1	21800930	21824049	plus	10		
1841481	Seriola lalandi dorsalis	111655475	0	live	LOC111655475		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
41447	Seriola dumerili	111217945	0	live	LOC111217945		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
7962	Cyprinus carpio	109045842	0	live	LOC109045842		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		42	NC_031738.1	2837262	2845207	plus	9		
42514	Pygocentrus nattereri	108430858	0	live	LOC108430858		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
307959	Sinocyclocheilus rhinocerous	107710025	0	live	LOC107710025		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
28743	Cyprinodon variegatus	107102349	0	live	LOC107102349		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
48701	Poecilia mexicana	106927487	0	live	LOC106927487		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8010	Esox lucius	105030340	0	live	LOC105030340		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		LG11	NC_025978.3	275959	283998	plus	8		
8010	Esox lucius	105007937	0	live	LOC105007937		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		LG05	NC_025972.3	27698231	27716527	plus	7		
215358	Larimichthys crocea	104927975	0	live	LOC104927975	EH28_18810	E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|E3 ubiquitin/ISG15 ligase TRIM25		Un							
215358	Larimichthys crocea	104921552	0	live	LOC104921552	EH28_24738	E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|E3 ubiquitin/ISG15 ligase TRIM25		Un							
9135	Serinus canaria	103826276	0	live	LOC103826276		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
144197	Stegastes partitus	103355864	0	live	LOC103355864		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un	NW_007577901.1	538990	551226	minus	11		
28377	Anolis carolinensis	103278896	0	live	LOC103278896		E3 ISG15--protein ligase HERC5	E3 ISG15--protein ligase HERC5		5	NC_014780.1	45772242	45807578	plus	24		
48698	Poecilia formosa	103155843	0	live	LOC103155843		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
303518	Pundamilia nyererei	102202703	0	live	LOC102202703		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
106582	Maylandia zebra	101481308	0	live	LOC101481308		E3 ubiquitin/ISG15 ligase TRIM25	E3 ubiquitin/ISG15 ligase TRIM25		LG11	NC_036790.1	6577381	6582081	plus	4		
419612	Camelus ferus	102514746	0	live	UBE2L6	CB1_000073015	ubiquitin conjugating enzyme E2 L6	ubiquitin/ISG15-conjugating enzyme E2 L6|ubiquitin/ISG15-conjugating enzyme E2 L6-like protein		Un							
885580	Fukomys damarensis	104851141	0	live	Ube2l6	H920_16813	ubiquitin conjugating enzyme E2 L6	ubiquitin/ISG15-conjugating enzyme E2 L6|Ubiquitin/ISG15-conjugating enzyme E2 L6		Un							
8187	Lates calcarifer	108880841	0	live	LOC108880841		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
7998	Ictalurus punctatus	108277091	0	live	LOC108277091		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		2	NC_030417.1	16493979	16507345	minus	10		
30732	Oryzias melastigma	112147580	0	live	LOC112147580		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8019	Oncorhynchus kisutch	109896890	0	live	LOC109896890		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		LG9	NC_034182.1	20426116	20457963	plus	10		
8019	Oncorhynchus kisutch	109875063	0	live	LOC109875063		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		LG30	NC_034203.1	32788758	32795038	minus	9		
8022	Oncorhynchus mykiss	110538123	0	live	LOC110538123		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		12	NC_035088.1	65113087	65129791	plus	12		
